word1,word2,human_score,Random (lower bound),Char Trigram Jaccard,Word2Vec CBOW,Word2Vec Skip-gram,FastText + Subword (YOURS),Pretrained FT cc.zu.300
inkosi,imeya,8.45,0.773956,0.0,0.986681,0.412779,0.354751,N/A
imali,isikweletu,7.12,0.438878,0.0,0.895699,0.091846,0.302334,N/A
uhulumeni,umasipala,8.9,0.858598,0.0,0.995671,0.228507,0.227822,N/A
inkohlakalo,icala,7.5,0.697368,0.0,0.956473,0.553167,0.582154,N/A
isikole,inyuvesi,8.2,0.094177,0.0,0.977976,0.486339,0.564199,N/A
umfundi,uthisha,7.65,0.975622,0.0,0.995724,0.837022,0.600348,N/A
izifundo,imiphumela,6.8,0.76114,0.0,0.949318,0.620025,0.391657,N/A
u-matric,isivivinyo,9.1,0.786064,0.0,0.984538,0.427015,0.5598,N/A
ingoma,icwecwe,8.55,0.128114,0.0,0.987726,0.669619,0.608264,N/A
umrepha,umculi,9.25,0.450386,0.083333,0.972941,0.668164,0.608825,N/A
ikhwaya,umbhalo,4.1,0.370798,0.0,0.993335,0.795046,0.391844,N/A
idume,izindondo,6.4,0.926765,0.0,0.923259,0.758594,0.476061,N/A
amaphoyisa,abasolwa,8.15,0.643865,0.0,0.996247,0.585237,0.527911,N/A
isibhamu,inhlamvu,9.4,0.822762,0.0,0.995195,0.774204,0.777949,N/A
ubunhloli,umkhondo,8.7,0.443414,0.0,0.997816,0.739424,0.817059,N/A
isiteshi,inkantolo,6.95,0.227239,0.0,0.986869,0.489311,0.393457,N/A
idolobha,ilokishi,7.3,0.554585,0.0,0.991036,0.509596,0.664569,N/A
isivakashi,ihhotela,8.85,0.063817,0.0,0.993995,0.517357,0.692847,N/A
ingqalasizinda,ukuthuthukiswa,7.75,0.827631,0.0,0.984632,0.905556,0.521183,N/A
emakhaya,iphesheya,3.2,0.631664,0.0625,0.88945,0.749883,0.599145,N/A
itekisi,ubudokotela,1.15,0.758088,0.0,0.962724,0.909337,0.428074,N/A
umculo,isifo,0.9,0.354526,0.0,0.994931,0.459634,0.32161,N/A
u-matric,ubumnandi,2.5,0.970698,0.0,0.98759,0.226489,0.213392,N/A
inkosi,igwaba,1.05,0.893121,0.0,0.97189,0.865214,0.367702,N/A
ikhansela,umasipala,8.3,0.778383,0.058824,N/A,N/A,0.565711,N/A
imeya,indunankulu,7.8,0.194639,0.0,N/A,N/A,0.545084,N/A
inhlangano,iqembu,7.4,0.466721,0.0,0.997613,0.386384,0.236735,N/A
umbuso,uhulumeni,8.95,0.043804,0.0,0.992994,0.475403,0.513903,N/A
isivumelwano,inkontileka,7.6,0.154289,0.0,N/A,N/A,0.465193,N/A
inkantolo,umshushisi,7.85,0.683049,0.0,0.986882,0.791181,0.670435,N/A
icala,umsolwa,8.1,0.744762,0.0,0.969623,0.523713,0.432226,N/A
ibheyili,isigwebo,6.5,0.96751,0.0,N/A,N/A,0.627225,N/A
ummangalelwa,ummeli,7.2,0.325825,0.125,0.230035,0.431009,0.488703,N/A
ubufakazi,uphenyo,7.9,0.37046,0.0,N/A,N/A,0.540089,N/A
inyuvesi,ikolishi,8.4,0.469556,0.0,N/A,N/A,0.615682,N/A
iziqu,isitifiketi,7.55,0.189471,0.0,0.969661,0.694657,0.429443,N/A
umfundi,isivivinyo,7.0,0.129922,0.0,0.992136,0.814538,0.474341,N/A
uthishomkhulu,uthisha,8.6,0.475705,0.333333,0.992384,0.521659,0.736459,N/A
ibanga,izifundo,7.25,0.226909,0.0,0.91536,0.269324,0.128513,N/A
i-albhamu,icwecwe,9.3,0.669814,0.0,0.981288,0.507042,0.551542,N/A
umculi,ikhwaya,5.8,0.437152,0.0,0.994671,0.655858,0.396436,N/A
umcimbi,inkundla,7.45,0.832678,0.0,0.992445,0.586499,0.44286,N/A
ingoma,umrepha,7.7,0.700265,0.0,0.969634,0.569848,0.386315,N/A
izindondo,umklomelo,8.2,0.312367,0.0,0.878235,0.661659,0.468546,N/A
inkampani,ibhange,6.9,0.83226,0.0,0.981613,0.457236,0.295655,N/A
imali,inzuzo,7.35,0.804764,0.0,0.975091,0.488404,0.43017,N/A
isikweletu,imboleko,8.0,0.387478,0.0,N/A,N/A,0.57542,N/A
umnotho,abaxhasi,6.7,0.288328,0.0,0.970015,0.556938,0.463067,N/A
amasheya,isitoko,8.15,0.682496,0.0,0.982527,0.929962,0.459969,N/A
udokotela,isibhedlela,8.5,0.139752,0.111111,0.990128,0.588287,0.542989,N/A
umhlengikazi,umtholampilo,7.8,0.199908,0.043478,N/A,N/A,0.51887,N/A
isifo,umuthi,7.1,0.007362,0.0,0.996605,0.533947,0.350448,N/A
ukwelapha,imiphilisi,8.25,0.786924,0.0,N/A,N/A,0.568416,N/A
isiguli,udokotela,8.7,0.664851,0.0,0.989531,0.473446,0.535053,N/A
ibhola,inkundla,7.6,0.705165,0.076923,0.99479,0.441767,0.381895,N/A
umqeqeshi,ibhola,6.4,0.780729,0.0,0.998088,0.388107,0.366575,N/A
iqembu,umdlali,8.35,0.458916,0.0,N/A,N/A,0.578377,N/A
isicoco,indondo,7.9,0.568741,0.0,N/A,N/A,0.43489,N/A
umdlalo,umqhudelwano,8.8,0.139797,0.055556,0.991083,0.521772,0.458214,N/A
isibhamu,udubulo,9.1,0.11453,0.0,N/A,N/A,0.651581,N/A
amaphoyisa,izigebengu,7.5,0.668403,0.0,N/A,N/A,0.39945,N/A
ubunhloli,uphenyisiso,8.65,0.471096,0.0,N/A,N/A,0.450378,N/A
ukuboshwa,icala,7.8,0.565236,0.0,0.957266,0.409293,0.511084,N/A
inhlamvu,abasolwa,6.8,0.764999,0.0,0.99512,0.524739,0.528644,N/A
ilokishi,ekhaya,6.2,0.634718,0.0,0.994775,0.340631,0.35631,N/A
ihhotela,isivakashi,8.9,0.553579,0.0,0.993995,0.517357,0.692847,N/A
idolobha,inyuvesi,4.5,0.559207,0.0,0.969174,0.365026,0.338904,N/A
emakhaya,elokishi,5.9,0.30395,0.0,N/A,N/A,0.519174,N/A
isifundazwe,idolobha,7.1,0.030818,0.0,N/A,N/A,0.341204,N/A
isibhamu,icwecwe,0.8,0.436717,0.0,0.981426,0.333647,0.411954,N/A
udokotela,umculo,1.2,0.214585,0.0,0.989091,0.240325,0.401889,N/A
ihhotela,inkantolo,1.5,0.408529,0.0,0.985898,0.549368,0.337588,N/A
inyuvesi,amaphoyisa,1.3,0.853403,0.0,0.96021,0.197606,0.216767,N/A
ingoma,isikweletu,0.95,0.233939,0.0,0.948246,0.26713,0.492953,N/A
ubunhloli,i-albhamu,1.1,0.058303,0.0,0.996355,0.414317,0.405413,N/A
ithisha,isibhamu,0.85,0.281384,0.0,N/A,N/A,0.361639,N/A
umzali,ingane,8.75,0.293594,0.0,0.98532,0.421933,0.519598,N/A
ubaba,umama,8.9,0.661917,0.0,0.995256,0.562937,0.340804,N/A
umndeni,ikhaya,8.4,0.557032,0.0,0.987085,0.210045,0.415597,N/A
umkhulu,ugogo,8.85,0.783898,0.0,0.990846,0.692666,0.638661,N/A
umfowethu,udadewethu,8.6,0.664314,0.266667,N/A,N/A,0.925678,N/A
umyeni,inkosikazi,8.95,0.406387,0.0,N/A,N/A,0.523435,N/A
ingane,umzali,8.75,0.81402,0.0,0.98532,0.421933,0.519598,N/A
isihlobo,umndeni,7.8,0.166973,0.0,N/A,N/A,0.273642,N/A
ikhompyutha,i-intanethi,7.9,0.022712,0.0,N/A,N/A,0.481032,N/A
iselula,ucingo,8.3,0.090048,0.0,0.990742,0.502775,0.447795,N/A
i-app,ikhompyutha,7.2,0.722359,0.0,N/A,N/A,0.464885,N/A
ubuchwepheshe,imishini,7.5,0.461877,0.0,0.991379,0.442638,0.451935,N/A
idatha,ikhompyutha,7.85,0.161272,0.133333,0.993471,0.514996,0.54801,N/A
i-email,ucingo,6.4,0.501045,0.0,N/A,N/A,0.492162,N/A
ukulima,abalimi,8.7,0.152312,0.076923,0.992175,0.44365,0.339976,N/A
