# ISIZULU SYNONYM ANNOTATION TASK
# human_score_0_to_10 : 0=unrelated, 10=perfect synonyms
# can_substitute      : YES if meaning is preserved when swapped
# noun_class_match    : YES = same isiZulu noun class (more reliable)
query_word,candidate_synonym,cosine_similarity,rank,noun_class_match,model_note,human_score_0_to_10,can_substitute_YES_or_NO,annotator_notes
magic,"magic""",0.9957,1,YES,Strong candidate,,,
ngumahlaba,nguumahlaba,0.9904,1,YES,Strong candidate,,,
nguumahlaba,ngumahlaba,0.9904,1,YES,Strong candidate,,,
chief,chiefs,0.9796,1,YES,Strong candidate,,,
chiefs,chief,0.9796,1,YES,Strong candidate,,,
amakhompyutha,amakhompiyutha,0.9718,1,YES,Strong candidate,,,
amakhompiyutha,amakhompyutha,0.9718,1,YES,Strong candidate,,,
ubuchwepheshe,buchwepheshe,0.9711,1,YES,Strong candidate,,,
buchwepheshe,ubuchwepheshe,0.9711,1,YES,Strong candidate,,,
yedolobha,yedolobha;,0.9711,1,YES,Strong candidate,,,
abonakala,eyabonakala,0.9659,1,YES,Strong candidate,,,
eyabonakala,abonakala,0.9659,1,YES,Strong candidate,,,
zezezikhali,zezikhali,0.9658,1,YES,Strong candidate,,,
zezikhali,zezezikhali,0.9658,1,YES,Strong candidate,,,
obungenakulinganiswa,ongenakulinganiswa,0.9654,1,YES,Strong candidate,,,
ongenakulinganiswa,obungenakulinganiswa,0.9654,1,YES,Strong candidate,,,
esewumphathiswa,wumphathiswa,0.9652,1,YES,Strong candidate,,,
wumphathiswa,esewumphathiswa,0.9652,1,YES,Strong candidate,,,
esetshenziswa,isetshenziswa,0.9649,1,YES,Strong candidate,,,
isetshenziswa,esetshenziswa,0.9649,1,YES,Strong candidate,,,
idolobha,“idolobha,0.9641,1,YES,Strong candidate,,,
main,martin,0.9614,1,YES,Strong candidate,,,
martin,main,0.9614,1,YES,Strong candidate,,,
umqeqeshi,mqeqeshi,0.9608,1,YES,Strong candidate,,,
mqeqeshi,umqeqeshi,0.9608,1,YES,Strong candidate,,,
uvakashela,vakashela,0.9608,1,YES,Strong candidate,,,
vakashela,uvakashela,0.9608,1,YES,Strong candidate,,,
ukuqhubeka,wukuqhubeka,0.9604,1,YES,Strong candidate,,,
wukuqhubeka,ukuqhubeka,0.9604,1,YES,Strong candidate,,,
kwezinsuku,kwezinyanga,0.9603,1,YES,Strong candidate,,,
kwezinyanga,kwezinsuku,0.9603,1,YES,Strong candidate,,,
nezasemalokishini,zasemalokishini,0.9596,1,YES,Strong candidate,,,
zasemalokishini,nezasemalokishini,0.9596,1,YES,Strong candidate,,,
ehlangabezana,abehlangabezana,0.9593,1,YES,Strong candidate,,,
abehlangabezana,ehlangabezana,0.9593,1,YES,Strong candidate,,,
abakhulekeli,nabakhulekeli,0.958,1,YES,Strong candidate,,,
nabakhulekeli,abakhulekeli,0.958,1,YES,Strong candidate,,,
ezobuchwepheshe,zezobuchwepheshe,0.9574,1,YES,Strong candidate,,,
zezobuchwepheshe,ezobuchwepheshe,0.9574,1,YES,Strong candidate,,,
ikhompyutha,ikhompiyutha,0.9568,1,YES,Strong candidate,,,
ikhompiyutha,ikhompyutha,0.9568,1,YES,Strong candidate,,,
ezihlukahlukene,ezihlukene,0.9564,1,YES,Strong candidate,,,
ezihlukene,ezihlukahlukene,0.9564,1,YES,Strong candidate,,,
ipolitiki,kwipolitiki,0.9563,1,YES,Strong candidate,,,
kwipolitiki,ipolitiki,0.9563,1,YES,Strong candidate,,,
abayidlalayo,"abayidlalayo,",0.956,1,YES,Strong candidate,,,
ingqalasizinda,"ingqalasizinda,”",0.9555,1,YES,Strong candidate,,,
umdlalo,wumdlalo,0.9552,1,YES,Strong candidate,,,
wumdlalo,umdlalo,0.9552,1,YES,Strong candidate,,,
ikhompyutha,i-ikhompyutha,0.9545,2,YES,Strong candidate,,,
zezobuchwepheshe,zezobuchwepheshe.,0.9543,2,YES,Strong candidate,,,
ekuqinisekiseni,ekuqiniseni,0.9527,1,YES,Strong candidate,,,
ekuqiniseni,ekuqinisekiseni,0.9527,1,YES,Strong candidate,,,
yesifunda,"yesifunda.""",0.9527,1,YES,Strong candidate,,,
kwesinye,"""kwesinye",0.9526,1,YES,Strong candidate,,,
odlalaayo,olalaayo,0.9523,1,YES,Strong candidate,,,
olalaayo,odlalaayo,0.9523,1,YES,Strong candidate,,,
mdlalo,wumdlalo,0.9521,1,YES,Strong candidate,,,
wumdlalo,mdlalo,0.9521,2,YES,Strong candidate,,,
rich,c,0.9507,1,YES,Strong candidate,,,
ekuqaleni,ekupheleni,0.9506,1,YES,Strong candidate,,,
ekupheleni,ekuqaleni,0.9506,1,YES,Strong candidate,,,
eyayitshelekwe,yayitshelekwe,0.9496,1,YES,Strong candidate,,,
university,e-university,0.9496,1,YES,Strong candidate,,,
yayitshelekwe,eyayitshelekwe,0.9496,1,YES,Strong candidate,,,
zezobuchwepheshe,zobuchwepheshe,0.949,3,YES,Strong candidate,,,
zobuchwepheshe,zezobuchwepheshe,0.949,1,YES,Strong candidate,,,
chiefs,ichiefs,0.9488,2,YES,Strong candidate,,,
ichiefs,chiefs,0.9488,1,YES,Strong candidate,,,
ukuzijabulisa,"ukuzijabulisa,",0.9484,1,YES,Strong candidate,,,
ezobuchwepheshe,zobuchwepheshe,0.9482,2,YES,Strong candidate,,,
zobuchwepheshe,ezobuchwepheshe,0.9482,2,YES,Strong candidate,,,
bezepolitiki,bezopolitiki,0.9478,1,YES,Strong candidate,,,
bezopolitiki,bezepolitiki,0.9478,1,YES,Strong candidate,,,
bavakashela,vakashela,0.9476,1,YES,Strong candidate,,,
lokuthuthukisa,okuthuthukisa,0.9476,1,YES,Strong candidate,,,
okuthuthukisa,lokuthuthukisa,0.9476,1,YES,Strong candidate,,,
vakashela,bavakashela,0.9476,2,YES,Strong candidate,,,
march,martin,0.9471,1,YES,Strong candidate,,,
martin,march,0.9471,2,YES,Strong candidate,,,
eyabonakala,iyabonakala,0.9469,2,YES,Strong candidate,,,
iyabonakala,eyabonakala,0.9469,1,YES,Strong candidate,,,
esetshenziswa,kusetshenziswa,0.9467,2,YES,Strong candidate,,,
kusetshenziswa,esetshenziswa,0.9467,1,YES,Strong candidate,,,
oculaayo,osizaayo,0.9463,1,YES,Strong candidate,,,
osizaayo,oculaayo,0.9463,1,YES,Strong candidate,,,
yokuphumelela,yokuphumelelisa,0.9463,1,YES,Strong candidate,,,
yokuphumelelisa,yokuphumelela,0.9463,1,YES,Strong candidate,,,
zokuthengisa,"zokuthengisa,",0.9459,1,YES,Strong candidate,,,
izotholakala,satholakala,0.9457,1,YES,Strong candidate,,,
satholakala,izotholakala,0.9457,1,YES,Strong candidate,,,
eseliqalile,seliqalile,0.9453,1,YES,Strong candidate,,,
oculaayo,ogezaayo,0.9453,2,YES,Strong candidate,,,
ogezaayo,oculaayo,0.9453,1,YES,Strong candidate,,,
seliqalile,eseliqalile,0.9453,1,YES,Strong candidate,,,
beqinisekisa,eqinisekisa,0.9447,1,YES,Strong candidate,,,
eqinisekisa,beqinisekisa,0.9447,1,YES,Strong candidate,,,
aseningizimu,saseningizimu,0.9445,1,YES,Strong candidate,,,
emiqhudelwaneni,emqhudelwaneni,0.9445,1,YES,Strong candidate,,,
emqhudelwaneni,emiqhudelwaneni,0.9445,1,YES,Strong candidate,,,
saseningizimu,aseningizimu,0.9445,1,YES,Strong candidate,,,
eminyaka,minyaka,0.9444,1,YES,Strong candidate,,,
minyaka,eminyaka,0.9444,1,YES,Strong candidate,,,
ngohulumeni,nguhulumeni,0.9442,1,YES,Strong candidate,,,
nguhulumeni,ngohulumeni,0.9442,1,YES,Strong candidate,,,
obonaayo,oculaayo,0.9439,1,YES,Strong candidate,,,
oculaayo,obonaayo,0.9439,3,YES,Strong candidate,,,
isetshenziswa,lisetshenziswa,0.9438,2,YES,Strong candidate,,,
lisetshenziswa,isetshenziswa,0.9438,1,YES,Strong candidate,,,
manje,“manje,0.9435,1,YES,Strong candidate,,,
oculaayo,olalaayo,0.9434,4,YES,Strong candidate,,,
olalaayo,oculaayo,0.9434,2,YES,Strong candidate,,,
abafundi,“abafundi,0.9431,1,YES,Strong candidate,,,
iphesheya,iphesheya.”,0.9429,1,YES,Strong candidate,,,
oculaayo,ovukaayo,0.9428,5,YES,Strong candidate,,,
ovukaayo,oculaayo,0.9428,1,YES,Strong candidate,,,
management,"management,",0.9422,1,YES,Strong candidate,,,
emincintiswaneni,emncintiswaneni,0.942,1,YES,Strong candidate,,,
emncintiswaneni,emincintiswaneni,0.942,1,YES,Strong candidate,,,
international,nakwi-international,0.9416,1,YES,Strong candidate,,,
enelspruit,"enelspruit,",0.9415,1,YES,Strong candidate,,,
nations,nakwi-international,0.941,1,YES,Strong candidate,,,
oculaayo,ogijimaayo,0.9407,6,YES,Strong candidate,,,
ogijimaayo,oculaayo,0.9407,1,YES,Strong candidate,,,
ogezaayo,osizaayo,0.9406,2,YES,Strong candidate,,,
osizaayo,ogezaayo,0.9406,2,YES,Strong candidate,,,
ibhizinisi,bhizinisi,0.9403,1,YES,Strong candidate,,,
bhizinisi,ibhizinisi,0.9403,1,YES,Strong candidate,,,
umqhudelwano,somqhudelwano,0.9402,1,YES,Strong candidate,,,
somqhudelwano,umqhudelwano,0.9402,1,YES,Strong candidate,,,
okuhambisana,ukuhambisana,0.9401,1,YES,Strong candidate,,,
ukuhambisana,okuhambisana,0.9401,1,YES,Strong candidate,,,
uzocula,uzodla,0.9401,1,YES,Strong candidate,,,
