word1,word2,human_score,cosine_similarity,in_vocab
inkosi,imeya,8.45,0.3744603,In Vocab
imali,isikweletu,7.12,0.29281673,Partial N-gram
uhulumeni,umasipala,8.9,0.2604162,In Vocab
inkohlakalo,icala,7.5,0.5480727,Partial N-gram
isikole,inyuvesi,8.2,0.5546123,In Vocab
umfundi,uthisha,7.65,0.5998076,In Vocab
izifundo,imiphumela,6.8,0.39483225,In Vocab
u-matric,isivivinyo,9.1,0.56502736,Partial N-gram
ingoma,icwecwe,8.55,0.6502678,Partial N-gram
umrepha,umculi,9.25,0.63143295,In Vocab
ikhwaya,umbhalo,4.1,0.3902467,Partial N-gram
idume,izindondo,6.4,0.48055866,Full N-gram
amaphoyisa,abasolwa,8.15,0.52639145,In Vocab
isibhamu,inhlamvu,9.4,0.78156793,In Vocab
ubunhloli,umkhondo,8.7,0.8172194,In Vocab
isiteshi,inkantolo,6.95,0.40346625,Partial N-gram
idolobha,ilokishi,7.3,0.6816527,In Vocab
isivakashi,ihhotela,8.85,0.6928373,Partial N-gram
ingqalasizinda,ukuthuthukiswa,7.75,0.52232796,Partial N-gram
emakhaya,iphesheya,3.2,0.6052208,In Vocab
itekisi,ubudokotela,1.15,0.45386449,Partial N-gram
umculo,isifo,0.9,0.32531133,In Vocab
u-matric,ubumnandi,2.5,0.21850109,In Vocab
inkosi,igwaba,1.05,0.37524194,Partial N-gram
