word1,word2,strategy,detail,cosine_similarity,human_score,in_vocab
uholela,ulishebe,morphological,class11,0.179018,0.320312,Both
umvuzo.,umgqigqo.,morphological,class1_singular,0.539763,0.572834,Both
oyiphini,lezinhlobonhlobo,random_unrelated,,0.463168,0.369218,Both
uyambonga,unzama,morphological,class11,0.131808,0.287266,Both
uphephile,u-r1,morphological,class11,0.089276,0.257493,Both
ukusheshisa,kusanelesi,random_unrelated,,0.294956,0.251469,Both
ngalesi,ugrade,random_unrelated,,0.366173,0.301321,Both
amasu,amasoka,morphological,class6_plural,0.67944,0.670608,Both
umfanafuthi,zisesikole,cooccurrence,freq=8,0.248717,0.339102,Both
nezibhamu.,yentengo,random_unrelated,,0.568944,0.443261,Both
enkulu,ngokuphelele.,cooccurrence,freq=2,0.100422,0.235296,Both
athuthukise,sisiza,random_unrelated,,0.265815,0.231071,Both
uvuke,ujose,morphological,class11,0.575717,0.598002,Both
i-zesco,"ilanga,",morphological,class5_singular,0.141006,0.293704,Both
impumelelo,imfundo,semantic_within,education,0.057465,0.265226,Both
u-r200,udlalwa,morphological,class11,0.55168,0.581176,Both
umfazi,umuntu,semantic_within,family,0.166655,0.341659,Both
ungobeni,ulalele,morphological,class11,0.488473,0.536931,Both
"othandekayo,",wami,cooccurrence,freq=208,0.484219,0.503953,Both
ibhange,isikweletu,semantic_within,money,0.355317,0.473722,Both
iyindlela,uma,cooccurrence,freq=184,0.116881,0.246817,Both
bayabona,ngamandla,cooccurrence,freq=358,0.159252,0.276476,Both
"basenyuvesi,",sehlobo,cooccurrence,freq=4,0.139394,0.262576,Both
sikhathi,ezigulayo,random_unrelated,,0.131702,0.137191,Both
948),kuboshelwe,random_unrelated,,0.355946,0.294162,Both
ubabonga,uyahlula,morphological,class11,0.123868,0.281708,Both
iyasitshintsha,iculo,morphological,class5_singular,0.529776,0.565843,Both
uhuru,udumi,morphological,class11,0.508811,0.551168,Both
bukhona,emasimini,cooccurrence,freq=400,0.131569,0.257099,Both
izimakethe,izingxabano,morphological,class8_plural,0.241793,0.364255,Both
yifortuner.,asebekhule,random_unrelated,,0.222122,0.200486,Both
afrika,ukuletha,cooccurrence,freq=2,0.146308,0.267416,Both
emoyeni,uyanakekela,cooccurrence,freq=8,0.286409,0.365487,Both
beyokukha,"enkundleni,",random_unrelated,,0.164251,0.159975,Both
abantu,othandwa,cooccurrence,freq=200,0.166187,0.281331,Both
bawe,kube,cooccurrence,freq=2,0.233732,0.328612,Both
usetshenziswa,uzwa,morphological,class11,0.32766,0.424362,Both
njengamanzi,ngomsombuluko,random_unrelated,,0.229784,0.205848,Both
eyingxenye,umphumela,random_unrelated,,0.366512,0.301559,Both
ulishebe,ngengozi,random_unrelated,,0.557156,0.435009,Both
ubongani,uvumayo,cooccurrence,freq=24,0.281389,0.361972,Both
inkampani,inhlamvu,semantic_across,money_vs_police_law,0.287527,0.291269,Both
