word1,word2,strategy,detail,cosine_similarity,heuristic_score,in_vocab
u-exclusive,uvivinyo,morphological,class11,0.304922,0.442953,Both
ngokuzwa,948),random_unrelated,,0.271159,0.222695,Both
kuthiwa,lokusoconga,cooccurrence,freq=4,0.44436,0.486616,Both
kakhulu,kudlalwe,cooccurrence,freq=2,0.272708,0.383625,Both
"ubumningi,",ubukeleke,morphological,class11,0.516392,0.569835,Both
ihlathi,ukhuni,semantic_within,nature,0.364652,0.518791,Both
i-actuarial,iphimbo,morphological,class5_singular,0.503959,0.562375,Both
"ukudansa,",mutyaba,random_unrelated,,0.354994,0.272997,Both
nothando,ezinye,random_unrelated,,0.162395,0.157437,Both
ukukhula,ukuhoxa,morphological,class15_infinitive,0.340526,0.464316,Both
nabagqugquzeli,"abanekhono,",random_unrelated,,0.564192,0.398515,Both
lwale,zigaya,random_unrelated,,0.244256,0.206554,Both
idola,892),random_unrelated,,0.350689,0.270413,Both
abayishumi,abangaphakathi.,morphological,class2_plural,0.444775,0.526865,Both
zokuvakasha,mpangeni,random_unrelated,,0.250626,0.210376,Both
yakhipha,nokushintsha,random_unrelated,,0.34594,0.267564,Both
ezenza,"lwangempela,",cooccurrence,freq=2,0.544343,0.546606,Both
kwezilwandle,obenza,random_unrelated,,0.255601,0.213361,Both
uneziqu,unyazilwezulu,morphological,class11,0.40783,0.504698,Both
ngenkathi,ushaya,cooccurrence,freq=2,0.213125,0.347875,Both
ungitshele,ungakhathazekile,morphological,class11,0.365244,0.479147,Both
okungihlomise,libukeke,random_unrelated,,0.224387,0.194632,Both
uvakashele,unenkinga,morphological,class11,0.243713,0.406228,Both
isivivinyo,ulwazi,semantic_within,education,0.398297,0.538978,Both
"ewu-30,",uqikelela,random_unrelated,,0.334104,0.260462,Both
"ezikoleni,","ngomusa,",cooccurrence,freq=2,0.468383,0.50103,Both
ihhotela,iyashabalala,morphological,class5_singular,0.350089,0.470054,Both
ukulima,ukudliwa,morphological,class15_infinitive,0.520963,0.572578,Both
ikhuluma,igingqike,morphological,class5_singular,0.254749,0.412849,Both
liphethwe,zokuphumula,random_unrelated,,0.290245,0.234147,Both
indlu,ihhotela,semantic_within,places,0.220888,0.432533,Both
azokhetha,necountryman,cooccurrence,freq=2,0.560981,0.556589,Both
kuphakame,"abantu,",random_unrelated,,0.113301,0.127981,Both
ikhompiyutha,umsakazo,semantic_within,technology,0.24707,0.448242,Both
abazama,abangagcini,morphological,class2_plural,0.531839,0.579104,Both
abazokuthola,ezokuvakasha.,random_unrelated,,0.42769,0.316614,Both
uzinze,ubike,morphological,class11,0.352274,0.471365,Both
bendawo,izembe,random_unrelated,,0.284423,0.230654,Both
mkhwanazi,"sakwazulu-natal,",cooccurrence,freq=2,0.574637,0.564782,Both
wokuthanda,yoklebe,random_unrelated,,0.277982,0.226789,Both
elinyazwe,esest,random_unrelated,,0.485543,0.351326,Both
unomphela,ushayela,morphological,class11,0.40629,0.503774,Both
kwelomkhulu,mhla,cooccurrence,freq=2,0.485601,0.511361,Both
samazulu.,ezinqala.,random_unrelated,,0.260522,0.216313,Both
imali,idola,semantic_within,money,0.322424,0.493454,Both
zasendle,bawubone,random_unrelated,,0.325598,0.255359,Both
ukugcina,ukuvela,morphological,class15_infinitive,0.415489,0.509293,Both
namakhono,zezobuchwepheshe,cooccurrence,freq=2,0.636767,0.60206,Both
abasebenzisa,emalini,random_unrelated,,0.323749,0.25425,Both
asendaweni,mgudu,random_unrelated,,0.338362,0.263017,Both
iyasukuma,uyasaba,random_unrelated,,0.506314,0.363788,Both
isifundo,isisekelo,morphological,class7_singular,0.44037,0.524222,Both
unina,uqinise,morphological,class11,0.283099,0.429859,Both
ukuzwa,yokuvuselela,cooccurrence,freq=2,0.405288,0.463173,Both
ayizuza.,"ngabantu,",random_unrelated,,0.337602,0.262561,Both
ugqama,uhuru,morphological,class11,0.325381,0.455228,Both
472),indikimba,random_unrelated,,0.372994,0.283797,Both
emithambekeni,kwanukwana,random_unrelated,,0.312144,0.247286,Both
yayinesivinini,“abalandeli,random_unrelated,,0.308176,0.244905,Both
ngomashi,waze,cooccurrence,freq=2,0.493086,0.515851,Both
nalokho,ubuhle,cooccurrence,freq=2,0.316094,0.409657,Both
uzoqhubeka,intuthuko,random_unrelated,,0.462395,0.337437,Both
itekisi,ibhola,semantic_across,transport_vs_sport,0.298744,0.299246,Both
u-aden,ujabulise.,morphological,class11,0.422356,0.513414,Both
zomsebenzi,967),random_unrelated,,0.325364,0.255218,Both
30.,kuvulela,random_unrelated,,0.301412,0.240847,Both
ebezinganakwa,"nazo,",random_unrelated,,0.471844,0.343106,Both
okunempilo,okungalungile,cooccurrence,freq=2,0.603925,0.582355,Both
aliqambe,lumsebenzi,random_unrelated,,0.256352,0.213811,Both
sokuzimela,"management,",random_unrelated,,0.25507,0.213042,Both
