word1,word2,human_score,cosine_similarity
inkosi,imeya,8.45,0.5920138
imali,isikweletu,7.12,0.00888961
uhulumeni,umasipala,8.9,0.15029003
inkohlakalo,icala,7.5,0.46078917
isikole,inyuvesi,8.2,0.51665455
umfundi,uthisha,7.65,0.0052835727
izifundo,imiphumela,6.8,0.20310211
u-matric,isivivinyo,9.1,0.47583482
ingoma,icwecwe,8.55,0.09606864
umrepha,umculi,9.25,0.5164503
ikhwaya,umbhalo,4.1,0.09795224
idume,izindondo,6.4,0.07288198
amaphoyisa,abasolwa,8.15,0.3954824
isibhamu,inhlamvu,9.4,0.36346632
ubunhloli,umkhondo,8.7,0.37476274
isiteshi,inkantolo,6.95,0.10783229
idolobha,ilokishi,7.3,0.32306778
isivakashi,ihhotela,8.85,0.08117039
ingqalasizinda,ukuthuthukiswa,7.75,0.19053604
emakhaya,iphesheya,3.2,0.15000236
itekisi,ubudokotela,1.15,0.10123115
umculo,isifo,0.9,-0.12349092
u-matric,ubumnandi,2.5,0.07243577
inkosi,igwaba,1.05,-0.18493542
