query_word,candidate,cosine_similarity,rank,above_threshold,noun_class_match,note
ababhali,ababhala,0.8795,1,YES,YES,Strong candidate
ababhali,ethu,0.7355,2,YES,YES,Strong candidate
ababhali,ababheki,0.7237,3,YES,YES,Strong candidate
ababhali,abagcini,0.72,4,YES,YES,Strong candidate
ababhali,abakhulumi,0.699,5,YES,YES,Strong candidate
ababhali,bezindaba,0.6854,6,YES,YES,Strong candidate
ababhali,abakuleli,0.6786,7,YES,YES,Strong candidate
ababhali,zemisebenzi,0.6725,8,YES,YES,Strong candidate
ababhali,ugogo,0.6633,9,YES,YES,Strong candidate
ababhali,bamasiko,0.6593,10,YES,YES,Strong candidate
abaculi,abavikeli,0.7519,1,YES,YES,Strong candidate
abaculi,abakhiqizi,0.7369,2,YES,YES,Strong candidate
abaculi,omakhelwane,0.7327,3,YES,YES,Strong candidate
abaculi,abakhokheli,0.7106,4,YES,YES,Strong candidate
abaculi,abafundisi,0.7035,5,YES,YES,Strong candidate
abaculi,yomakhelwane,0.7002,6,YES,YES,Strong candidate
abaculi,abazali,0.6915,7,YES,YES,Strong candidate
abaculi,abavela,0.688,8,YES,YES,Strong candidate
abaculi,abafazi,0.6868,9,YES,YES,Strong candidate
abaculi,umculi,0.6759,10,YES,YES,Strong candidate
abadingayo,abadinga,0.7858,1,YES,YES,Strong candidate
abadingayo,ngayo,0.6663,2,YES,YES,Strong candidate
abadingayo,abadingayo.,0.6601,3,YES,YES,Strong candidate
abadingayo,"abadingayo,",0.6403,4,YES,YES,Strong candidate
abadingayo,badinga,0.6026,5,YES,YES,Strong candidate
abadingayo,wemvelo,0.505,6,YES,YES,Moderate candidate
abadingayo,liyadinga,0.5009,7,YES,YES,Moderate candidate
abadingayo,ngomphakathi,0.4773,8,YES,YES,Moderate candidate
abadingayo,aphuma,0.4662,9,YES,YES,Moderate candidate
abadingayo,kadisemba,0.4584,10,YES,YES,Moderate candidate
abadlali,wabadlali,0.8845,1,YES,YES,Strong candidate
abadlali,nabadlali,0.8016,2,YES,YES,Strong candidate
abadlali,umbalenhle,0.7939,3,YES,YES,Strong candidate
abadlali,umgqugquzeli,0.7899,4,YES,YES,Strong candidate
abadlali,umthokozisi,0.7734,5,YES,YES,Strong candidate
abadlali,uphiwayinkosi,0.7639,6,YES,YES,Strong candidate
abadlali,abahlengikazi,0.7636,7,YES,YES,Strong candidate
abadlali,unomusa,0.7531,8,YES,YES,Strong candidate
abadlali,unkosi,0.7489,9,YES,YES,Strong candidate
abadlali,usnenhlanhla,0.7467,10,YES,YES,Strong candidate
abafana,abafazi,0.8399,1,YES,YES,Strong candidate
abafana,obaba,0.7994,2,YES,YES,Strong candidate
abafana,abasizi,0.7305,3,YES,YES,Strong candidate
abafana,abafisa,0.7098,4,YES,YES,Strong candidate
abafana,abazimisele,0.6815,5,YES,YES,Strong candidate
abafana,besikole,0.6772,6,YES,YES,Strong candidate
abafana,abalimi,0.67,7,YES,YES,Strong candidate
abafana,omama,0.6622,8,YES,YES,Strong candidate
abafana,abavela,0.66,9,YES,YES,Strong candidate
abafana,abameli,0.6583,10,YES,YES,Strong candidate
abafazi,abafana,0.8399,1,YES,YES,Strong candidate
abafazi,abafisa,0.7703,2,YES,YES,Strong candidate
abafazi,abalimi,0.7428,3,YES,YES,Strong candidate
abafazi,obaba,0.7405,4,YES,YES,Strong candidate
abafazi,abakhokheli,0.7343,5,YES,YES,Strong candidate
abafazi,omakhelwane,0.7311,6,YES,YES,Strong candidate
abafazi,abafundile,0.7279,7,YES,YES,Strong candidate
abafazi,abameli,0.7239,8,YES,YES,Strong candidate
abafazi,nabafazi,0.7232,9,YES,YES,Strong candidate
abafazi,abafike,0.7223,10,YES,YES,Strong candidate
abafundi,“abafundi,0.9431,1,YES,YES,Strong candidate
abafundi,yabafundi,0.8811,2,YES,YES,Strong candidate
abafundi,abafundile,0.8499,3,YES,YES,Strong candidate
abafundi,"abafundi,",0.8248,4,YES,YES,Strong candidate
abafundi,nabafundi,0.8219,5,YES,YES,Strong candidate
abafundi,kwabafundi,0.8184,6,YES,YES,Strong candidate
abafundi,bezincwadi,0.7423,7,YES,YES,Strong candidate
abafundi,abafundi.,0.7349,8,YES,YES,Strong candidate
abafundi,abameli,0.7256,9,YES,YES,Strong candidate
abafundi,bafundi,0.7195,10,YES,YES,Strong candidate
abagibeli,ebinabagibeli,0.8663,1,YES,YES,Strong candidate
abagibeli,abagqi,0.8209,2,YES,YES,Strong candidate
abagibeli,abakhokheli,0.7906,3,YES,YES,Strong candidate
abagibeli,abakuleli,0.7533,4,YES,YES,Strong candidate
abagibeli,abagibeli.,0.742,5,YES,YES,Strong candidate
abagibeli,abangane,0.7333,6,YES,YES,Strong candidate
abagibeli,abameli,0.7302,7,YES,YES,Strong candidate
abagibeli,abalandeli,0.7238,8,YES,YES,Strong candidate
abagibeli,abaphenduli,0.7213,9,YES,YES,Strong candidate
abagibeli,ummeli,0.7128,10,YES,YES,Strong candidate
abahambi,abahamba,0.8005,1,YES,YES,Strong candidate
abahambi,abavela,0.687,2,YES,YES,Strong candidate
abahambi,bakamaskandi,0.6795,3,YES,YES,Strong candidate
abahambi,babantu,0.677,4,YES,YES,Strong candidate
abahambi,abafazi,0.6746,5,YES,YES,Strong candidate
abahambi,abahlengikazi,0.6681,6,YES,YES,Strong candidate
abahambi,abakuleli,0.6659,7,YES,YES,Strong candidate
abahambi,besifazane,0.6617,8,YES,YES,Strong candidate
abahambi,zamarandi,0.6517,9,YES,YES,Strong candidate
abahambi,abahlobo,0.6516,10,YES,YES,Strong candidate
abahlali,zabahlali,0.8904,1,YES,YES,Strong candidate
abahlali,nabahlali,0.8213,2,YES,YES,Strong candidate
abahlali,abahlala,0.8131,3,YES,YES,Strong candidate
abahlali,ngabahlali,0.705,4,YES,YES,Strong candidate
abahlali,abahlobo,0.6975,5,YES,YES,Strong candidate
abahlali,yabahlali.,0.6879,6,YES,YES,Strong candidate
abahlali,abahlakaniphile,0.6672,7,YES,YES,Strong candidate
abahlali,abahlanu.,0.6589,8,YES,YES,Strong candidate
abahlali,abahlanu,0.6489,9,YES,YES,Strong candidate
abahlali,abakhulekeli.,0.64,10,YES,YES,Strong candidate
abahlengikazi,umhlengikazi,0.8461,1,YES,YES,Strong candidate
abahlengikazi,umlungisi,0.7849,2,YES,YES,Strong candidate
abahlengikazi,usinokholo,0.7822,3,YES,YES,Strong candidate
abahlengikazi,unandi,0.7777,4,YES,YES,Strong candidate
abahlengikazi,umthokozisi,0.7747,5,YES,YES,Strong candidate
abahlengikazi,omakhelwane,0.7693,6,YES,YES,Strong candidate
abahlengikazi,abahle,0.7677,7,YES,YES,Strong candidate
abahlengikazi,umgqugquzeli,0.7665,8,YES,YES,Strong candidate
abahlengikazi,abadlali,0.7636,9,YES,YES,Strong candidate
abahlengikazi,unkosi,0.7609,10,YES,YES,Strong candidate
abaholi,nabaholi,0.8209,1,YES,YES,Strong candidate
abaholi,kwabaholi,0.8038,2,YES,YES,Strong candidate
abaholi,abakhulumi,0.7782,3,YES,YES,Strong candidate
abaholi,abafundisi,0.7719,4,YES,YES,Strong candidate
abaholi,abashayeli,0.7333,5,YES,YES,Strong candidate
abaholi,abashayimthetho,0.732,6,YES,YES,Strong candidate
abaholi,abafundile,0.7128,7,YES,YES,Strong candidate
abaholi,obaba,0.7126,8,YES,YES,Strong candidate
abaholi,bekhaya,0.6919,9,YES,YES,Strong candidate
abaholi,abaphathi,0.6871,10,YES,YES,Strong candidate
abakhokheli,abalimi,0.8183,1,YES,YES,Strong candidate
abakhokheli,omakhelwane,0.7998,2,YES,YES,Strong candidate
abakhokheli,abagibeli,0.7906,3,YES,YES,Strong candidate
abakhokheli,abakhosi,0.7876,4,YES,YES,Strong candidate
abakhokheli,abavikeli,0.7831,5,YES,YES,Strong candidate
abakhokheli,abakuleli,0.7726,6,YES,YES,Strong candidate
abakhokheli,abalandeli,0.77,7,YES,YES,Strong candidate
abakhokheli,abalima,0.7626,8,YES,YES,Strong candidate
abakhokheli,abakhonzi,0.76,9,YES,YES,Strong candidate
abakhokheli,abakhulekeli,0.7577,10,YES,YES,Strong candidate
abakhulekeli,nabakhulekeli,0.958,1,YES,YES,Strong candidate
abakhulekeli,abakhulekeli.,0.8758,2,YES,YES,Strong candidate
abakhulekeli,abalimi,0.8463,3,YES,YES,Strong candidate
abakhulekeli,abanumzane,0.7835,4,YES,YES,Strong candidate
abakhulekeli,abakhokheli,0.7577,5,YES,YES,Strong candidate
abakhulekeli,abameli,0.7485,6,YES,YES,Strong candidate
abakhulekeli,bezomthetho,0.7375,7,YES,YES,Strong candidate
abakhulekeli,abakhosi,0.7345,8,YES,YES,Strong candidate
abakhulekeli,umkhuleko,0.7127,9,YES,YES,Strong candidate
abakhulekeli,"bezomthetho,",0.7039,10,YES,YES,Strong candidate
abalandeli,nabalandeli,0.883,1,YES,YES,Strong candidate
abalandeli,nakubalandeli,0.794,2,YES,YES,Strong candidate
abalandeli,abakhokheli,0.77,3,YES,YES,Strong candidate
abalandeli,abagibeli,0.7238,4,YES,YES,Strong candidate
abalandeli,abalungi,0.7132,5,YES,YES,Strong candidate
abalandeli,shabalala,0.7102,6,YES,YES,Strong candidate
abalandeli,abalisa,0.7061,7,YES,YES,Strong candidate
