word1,word2,human_score,cosine_similarity
inkosi,imeya,8.45,0.03162641
uhulumeni,umasipala,8.9,0.4689337
isikole,inyuvesi,8.2,0.26903972
umfundi,uthisha,7.65,0.78561234
izifundo,imiphumela,6.8,0.22770455
umrepha,umculi,9.25,0.3534952
amaphoyisa,abasolwa,8.15,0.37719062
isibhamu,inhlamvu,9.4,0.75511485
ubunhloli,umkhondo,8.7,0.5501364
idolobha,ilokishi,7.3,0.083898164
ingqalasizinda,ukuthuthukiswa,7.75,0.7197914
emakhaya,iphesheya,3.2,0.40539503
umculo,isifo,0.9,0.20483406
u-matric,ubumnandi,2.5,0.19806923
isikole,inyuvesi,8.2,0.26903972
isikole,inyuvesi,8.2,0.26903972
emakhaya,iphesheya,3.2,0.40539503
isibhamu,inhlamvu,9.4,0.75511485
idolobha,ilokishi,7.3,0.083898164
ubunhloli,umkhondo,8.7,0.5501364
umfundi,uthisha,7.65,0.78561234
izifundo,imiphumela,6.8,0.22770455
umrepha,umculi,9.25,0.3534952
amaphoyisa,abasolwa,8.15,0.37719062
ingqalasizinda,ukuthuthukiswa,7.75,0.7197914
umculo,isifo,0.9,0.20483406
u-matric,ubumnandi,2.5,0.19806923
inkosi,imeya,8.45,0.03162641
uhulumeni,umasipala,8.9,0.4689337
