query_word,candidate,cosine_similarity,rank,above_threshold,noun_class_match,note,query_english,candidate_english,wordnet_validated,wordnet_score,shared_synset,final_verdict
ababhali,ababhala,0.8795,1,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, source, english, primary_translation, alternative_translations, corpus_example",True,1.0,english.n.03,CONFIRMED SYNONYM
ababhali,ethu,0.7355,2,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, source, english, primary_translation, alternative_translations, corpus_example",True,1.0,english.n.03,CONFIRMED SYNONYM
ababhali,ababheki,0.7237,3,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, source, english, primary_translation, alternative_translations, corpus_example",True,1.0,english.n.03,CONFIRMED SYNONYM
ababhali,abagcini,0.72,4,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, source, english, primary_translation, alternative_translations, corpus_example",True,1.0,english.n.03,CONFIRMED SYNONYM
ababhali,abakhulumi,0.699,5,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, source, english, primary_translation, alternative_translations, corpus_example",True,1.0,english.n.03,CONFIRMED SYNONYM
ababhali,bezindaba,0.6854,6,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, source, english, primary_translation, alternative_translations, corpus_example",True,1.0,english.n.03,CONFIRMED SYNONYM
ababhali,abakuleli,0.6786,7,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, source, english, primary_translation, alternative_translations, corpus_example",True,1.0,english.n.03,CONFIRMED SYNONYM
ababhali,zemisebenzi,0.6725,8,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, source, english, primary_translation, alternative_translations, corpus_example",True,1.0,english.n.03,CONFIRMED SYNONYM
ababhali,ugogo,0.6633,9,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, english, primary_translation, alternative_translations",True,1.0,english.n.03,CONFIRMED SYNONYM
ababhali,bamasiko,0.6593,10,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, source, english, primary_translation, alternative_translations, corpus_example",True,1.0,english.n.03,CONFIRMED SYNONYM
abaculi,abavikeli,0.7519,1,YES,YES,Strong candidate,"zulu, english, primary_translation, alternative_translations","zulu, source, english, primary_translation, alternative_translations, corpus_example",True,1.0,english.n.03,CONFIRMED SYNONYM
