word1,word2,human_score,cosine_similarity,vocab_status
ukumkani,imayor,8.45,0.9314873218536377,N-gram
isikolo,yunivesithi,8.2,-0.09951617568731308,N-gram
utitshala,umfundi,7.65,0.9882088899612427,N-gram
inja,ikati,7.9,0.014461643062531948,N-gram
umfazi,indoda,7.8,0.9248385429382324,N-gram
imali,ibhanki,7.6,0.018443375825881958,N-gram
ikhaya,indlu,8.8,-0.074955053627491,N-gram
isonka,ukutya,8.1,0.9543949365615845,N-gram
inja,isikolo,1.2,0.052549537271261215,N-gram
imali,inyoni,0.85,-0.0958547294139862,N-gram
ugqirha,ibhola,1.1,0.9870953559875488,N-gram
